title_year,budget,gross,actor_1_facebook_likes,high_score
2007,65000000,33048353,21000,1
2003,15000000,13005485,638,1
1984,18000000,26400000,691,0
2010,7000000,382946,23000,1
2002,10000000,30306281,931,0
1999,8000000,14879556,2000,1
2006,24000000,70269171,13000,1
2013,12000000,37707719,1000,1
1999,6000000,6851636,1000,0
2000,43000000,51768623,670,1
1987,22700000,38119483,1000,1
1984,18000000,51600000,692,1
2013,9200000,2835886,211,1
2014,16000000,13998282,12000,0
2005,7000000,28747570,22000,1
2015,81200000,1339152,12000,1
2009,60000000,71844424,433,1
2006,21000000,480314,826,0
2002,43000000,24430272,44,0
2008,92000000,110416702,21000,0
2001,60000000,93375151,3000,0
1999,52000000,34580635,134,1
2008,22000000,20668843,939,0
2010,16000000,19057024,21000,1
2002,30000000,51432423,1000,0
2012,10000000,3333823,823,0
2009,80000000,19673424,529,0
1980,36000000,7000000,521,0
2005,85000000,57010853,879,1
2009,18000000,8742261,841,0
1997,4500000,713413,25,1
1983,10000000,25600000,10000,1
2004,12000000,17016190,1000,0
1995,3600000,31968347,12000,1
2009,21000000,8855646,22000,1
1978,20000000,102922376,813,0
2003,38000000,111760631,13000,0
1984,7500000,5100000,584,0
1997,10000000,15447,795,0
2015,11000000,33305037,16000,1
2006,6500000,13367101,435,0
2003,17000000,35143332,296,0
2015,8500000,131175,584,0
2004,60000000,77032279,15000,1
2007,61000000,46975183,650,1
2000,10000000,1631839,14000,0
2007,15000000,20801344,919,0
2001,10000000,20384136,690,0
1998,60000000,12065985,743,0
2003,45000000,59365105,14000,1
1997,3500000,45857453,1000,1
2013,20000000,2319187,3000,0
2006,50000000,28133159,12000,0
2000,13500000,7060876,14000,1
2005,28000000,119518352,523,1
2011,6500000,4000304,13000,1
2003,70000000,66257002,12000,1
2002,70000000,33105600,989,0
2011,90000000,102515793,18000,1
2015,17000000,44469602,427,1
2011,500000,7098492,786,1
2008,27000000,26876529,741,0
1994,700000,7830611,7,1
2014,5000000,17382982,1000,0
2011,32000000,54696902,15000,1
2001,35000000,33357476,1000,0
2001,35000000,13264986,694,0
2006,35000000,49413,155,1
2014,7000000,15818967,971,0
2001,22000000,40270895,967,1
2005,53000000,55808744,12000,0
2008,40000000,32853640,1000,0
2016,60000000,62401264,18000,0
2014,6500000,84263837,1000,0
2001,19800000,41300105,1000,1
2016,23000000,15785632,20000,1
2009,15000000,33860010,14000,0
2004,24000000,16964743,2000,0
2016,28000000,10907291,2000,0
2006,3300000,8108247,625,1
1998,13000000,16574731,4000,0
2013,90000000,58229120,3000,1
1996,44000000,44834712,23000,0
2012,6000000,11434867,24000,1
2001,42000000,15738632,11000,0
2007,35000000,10956379,889,0
2006,33000000,57651794,11000,0
2015,40000000,90353764,8000,0
2000,40000000,14967182,13000,0
1998,90000000,50628009,9000,0
1998,26000000,65703412,1000,0
2001,38000000,22770864,854,0
2012,65000000,42345531,14000,0
1982,28000000,27000000,11000,1
1992,40000000,82522790,18000,1
1999,2500000,1282084,745,0
2001,20000000,41867960,1000,0
2015,5000000,4700361,4000,0
2011,6400000,14597405,13000,0
1992,40000000,107458785,15000,1
2009,15000000,6373693,24000,0
1993,25000000,56505065,2000,1
2016,35000000,55291815,17000,0
2000,80000000,39442871,11000,0
2012,12000000,64572496,963,1
1992,20000000,121697350,1000,0
2010,37000000,44867349,13000,0
1999,50000000,27067160,13000,0
2003,6000000,3432342,150,1
2010,80000000,100169068,3000,0
2010,37000000,92173235,10000,1
2007,4000000,8060,585,1
2005,30000000,43894863,944,0
1987,29000000,5899797,18000,1
2003,11000000,32131483,1000,0
2007,20000000,5701643,627,1
1999,4000000,2800000,834,0
2011,56000000,54540525,22000,0
2008,30000000,20981633,826,0
2002,60000000,50189179,966,0
2013,17500000,7017178,549,0
2002,7500000,4239767,611,0
1981,2000000,9003011,745,1
2013,1300000,11278,31,0
1987,16000000,30857814,18000,1
2002,20000000,48423368,1000,0
2000,36000000,2954405,944,0
2004,15000000,29302097,811,0
2005,15000000,4235837,21000,1
1998,2500000,64359,578,0
1998,14000000,15062898,3000,0
2006,17000000,6855137,23000,1
1997,50000000,48265581,495,1
2009,25000000,56692,10000,1
2016,25000000,1512815,20000,0
1997,40000000,54967359,2000,0
2006,13000000,1172769,22000,1
2009,13000000,336467,488,1
2003,75000000,30013346,11000,0
2007,10000000,20339754,655,0
2012,2000000,2436,416,0
2011,2000000,34522221,690,0
2006,70000000,5851188,844,0
1987,2600000,3130592,443,1
2005,7500000,31501218,21000,1
2012,40000000,26404753,922,0
2013,20000000,7268659,2000,0
1993,11900000,48856,15,1
2002,10600000,22160085,541,0
2008,75000000,83077470,10000,1
2001,28000000,8434601,26000,0
2000,26000000,45506619,1000,1
2013,3000000,64423650,942,0
2011,20000000,82624961,8000,1
2000,42000,241816,552,1
2003,60000000,104148781,1000,0
2007,15000000,30226144,18000,1
2005,15000000,33565375,883,1
1999,75000000,97360069,2000,0
2010,6000000,399611,767,0
1988,63000000,53715611,13000,0
2012,3000000,418268,4000,0
1995,35000000,70960517,16000,1
2009,16000000,16204793,24000,0
2015,13000000,14677654,805,1
